"","w_mean_new","w_sd_new","monthID","date","year","month"
"1",6.31815476190476,0.267708333333333,"2000apr",2000-04-01,2000,4
"2",16.5328080229226,0.729512893982808,"2000aug",2000-08-01,2000,8
"3",8.21911764705882,0.315625,"2000dec",2000-12-01,2000,12
"4",5.5,0.4,"2000feb",2000-02-01,2000,2
"5",14.7013422818792,0.772557792692021,"2000jul",2000-07-01,2000,7
"6",11.2632386363636,0.571136363636364,"2000jun",2000-06-01,2000,6
"7",5.53973961562306,0.328766274023559,"2000mar",2000-03-01,2000,3
"8",8.06889097744361,0.209962406015038,"2000may",2000-05-01,2000,5
"9",9.48336380255941,0.33327239488117,"2000nov",2000-11-01,2000,11
"10",13.4597452229299,0.283099787685775,"2000oct",2000-10-01,2000,10
"11",16.1586452762923,0.468538324420677,"2000sep",2000-09-01,2000,9
"12",5.47545955882353,0.339981617647059,"2001apr",2001-04-01,2001,4
"13",16.9732773109244,0.707899159663866,"2001aug",2001-08-01,2001,8
"14",9.27745483110762,0.496779261586803,"2001dec",2001-12-01,2001,12
"15",5.47970802919708,0.383357664233577,"2001feb",2001-02-01,2001,2
"16",5.92918660287081,0.425358851674641,"2001jan",2001-01-01,2001,1
"17",14.9152302243211,0.741027154663518,"2001jul",2001-07-01,2001,7
"18",9.76290050590219,0.690725126475548,"2001jun",2001-06-01,2001,6
"19",4.69175891758918,0.407134071340713,"2001mar",2001-03-01,2001,3
"20",7.13351372245845,0.484344800927716,"2001may",2001-05-01,2001,5
"21",11.3983242258652,0.607540983606557,"2001nov",2001-11-01,2001,11
"22",14.9379379782521,0.349254933548127,"2001oct",2001-10-01,2001,10
"23",16.6097011494253,0.609793103448276,"2001sep",2001-09-01,2001,9
"24",4.63425299323269,0.281572097865695,"2003apr",2003-04-01,2003,4
"25",17.6037345781927,0.88272757585862,"2003aug",2003-08-01,2003,8
"26",7.56124284546198,0.29255928045789,"2003dec",2003-12-01,2003,12
"27",4.50044910179641,0.428443113772455,"2003feb",2003-02-01,2003,2
"28",5.92202380952381,0.448809523809524,"2003jan",2003-01-01,2003,1
"29",15.1728948985864,1.14105716041795,"2003jul",2003-07-01,2003,7
"30",9.95790378006873,0.653951890034364,"2003jun",2003-06-01,2003,6
"31",3.19079333986288,0.602448579823702,"2003mar",2003-03-01,2003,3
"32",6.4994102780118,0.461752316764954,"2003may",2003-05-01,2003,5
"33",11.0173684210526,0.532368421052632,"2003nov",2003-11-01,2003,11
"34",14.52,0.437871396895787,"2003oct",2003-10-01,2003,10
"35",16.3780966218671,0.730185252451871,"2003sep",2003-09-01,2003,9
"36",4.10247734138973,0.452688821752266,"2004apr",2004-04-01,2004,4
"37",15.9420018709074,0.734081696289367,"2004aug",2004-08-01,2004,8
"38",7.91810650887574,0.371183431952663,"2004dec",2004-12-01,2004,12
"39",3.61935162094763,0.411571072319202,"2004feb",2004-02-01,2004,2
"40",6.15652173913043,0.298913043478261,"2004jan",2004-01-01,2004,1
"41",13.8866028708134,1.05751196172249,"2004jul",2004-07-01,2004,7
"42",9.73668817204301,0.57389247311828,"2004jun",2004-06-01,2004,6
"43",3.54344866704481,0.29563244469654,"2004mar",2004-03-01,2004,3
"44",6.42111601766359,0.415937374548374,"2004may",2004-05-01,2004,5
"45",9.32811671087533,0.302298850574713,"2004nov",2004-11-01,2004,11
"46",12.7656152647975,0.41619937694704,"2004oct",2004-10-01,2004,10
